Index #,Timestamp,Formal section,Gender,Function,Vocal delivery,Environment,Layering,Width
212,33.20328798,Verse,M,Feat,S,E2,L1,W3
,,,,,,,,
212,66.32,Chorus,M,Feat,S,E3,L4,W5
,,,,,,,,
213,44.70444444,Verse,M,Main,S,E1,L1,W1
,,,,,,,,
213,82.3914966,Chorus,M,Main,S,E1,L5,W5
,,,,,,,,
214,53.20451247,Chorus,M,Feat,S,E1,L3,W3
,,,,,,,,
214,79.86006803,Verse,M,Main,R,E1,L2,W3
,,,,,,,,
216,9.362857143,Verse,W,Feat,S,E3,L1,W3
,,,,,,,,
216,54.45095238,Chorus,W,Feat,S,E3,L3,W5
,,,,,,,,
217,7.490204082,Verse,M,Feat,S,E4,L1,W4
,,,,,,,,
217,54.04460318,Chorus,M,Feat,S,E4,L4,W5
,,,,,,,,
219,10.99516667,Chorus,W,Main,S,E1,L3,W5
,,,,,,,,
219,22.56745833,Verse,M,Feat,R,E2,L1,W4
,,,,,,,,
220,19.68870748,Verse,M,Main,S,E4,L1,W4
,,,,,,,,
220,58.00922903,Chorus,M,Main,S,E2,L1,W4
,,,,,,,,
221,14.06610417,Chorus,W,Feat,S,E3,L2,W4
,,,,,,,,
221,70.64004167,Verse,M,Main,R,E1,L4,W5
,,,,,,,,
222,16.29668934,Chorus,M,Feat,R,E3,L1,W4
,,,,,,,,
222,32.46761905,Verse,M,Main,R,E2,L1,W3
,,,,,,,,
224,15.6808125,Verse,M,Main,S,E3,L1,W3
,,,,,,,,
224,45.61858333,Chorus,M,Main,S,E3,L3,W4
,,,,,,,,
225,42.45583333,Verse,M,Main,R,E1,L1,W1
,,,,,,,,
225,90.44766667,Chorus,W,Feat,S,E1,L1,W1
,,,,,,,,
226,2.900362812,Verse,W,Feat,S,E4,L1,W4
,,,,,,,,
226,32.97097506,Chorus,W,Feat,S,E2,L2,W4
,,,,,,,,
227,76.18281179,Verse,W,Neither,S,E4,L1,W5
,,,,,,,,
227,106.6613832,Chorus,W,Neither,S,E4,L1,W5
,,,,,,,,
228,45.8393424,Verse,M,Main,R,E1,L1,W1
,,,,,,,,
228,103.3168934,Chorus,M,Main,S,E1,L4,W5
,,,,,,,,
229,22.13115646,Verse,W,Main,S,E5,L1,W4
,,,,,,,,
229,63.59451247,Chorus,W,Main,S,E5,L1,W4
,,,,,,,,
230,7.805918367,Chorus,W,Feat,S,E3,L1,W4
,,,,,,,,
230,57.81113379,Verse,W,Feat,S,E3,L1,W4
,,,,,,,,
231,33.76622917,Chorus,W,Feat,S,E3,L2,W4
,,,,,,,,
231,75.8624375,Verse,M,Main,R,E3,L1,W3
,,,,,,,,
232,31.88580499,Verse,M,Main,S,E1,L1,W1
,,,,,,,,
232,54.48045352,Chorus,M,Main,S,E1,L3,W5
,,,,,,,,
233,27.85770833,Verse,M,Main,S,E1,L1,W2
,,,,,,,,
233,64.27847917,Chorus,M,Main,S,E1,L3,W5
,,,,,,,,
234,18.6509,Verse,M,Feat,S,E4,L1,W3
,,,,,,,,
234,54.5718,Chorus,M,Feat,S,E1,L3,W4
,,,,,,,,
235,9.583310658,Verse,M,Main,S,E3,L1,W3
,,,,,,,,
235,36.75786848,Chorus,M,Main,S,E1,L5,W5
,,,,,,,,
236,22.73562358,Verse,M,Feat,R,E3,L3,W5
,,,,,,,,
236,45.2890703,Chorus,M,Main,S,E3,L3,W5
,,,,,,,,
237,15.45238095,Chorus,M,Feat,S,E5,L3,W5
,,,,,,,,
237,45.89623583,Verse,M,Main,R,E5,L1,W3
,,,,,,,,
238,14.77673469,Chorus,M,Feat,S,E3,L1,W3
,,,,,,,,
238,44.10623583,Verse,M,Main,R,E1,L1,W3
,,,,,,,,
240,18.65395833,Verse,M,Main,S,E1,L1,W1
,,,,,,,,
240,93.1380625,Chorus,M,Main,S,E1,L1,W2
,,,,,,,,
241,8.5584375,Verse,M,Main,S,E1,L1,W2
,,,,,,,,
241,49.43697917,Chorus,M,Main,S,E1,L3,W5
,,,,,,,,
242,0,Chorus,M,Main,S,E3,L1,W4
,,,,,,,,
242,18.70659864,Verse,M,Main,S,E3,L1,W4
,,,,,,,,
243,0,Chorus,W,Feat,S,E2,L1,W4
,,,,,,,,
243,31.29083333,Verse,M,Main,R,E1,L3,W5
,,,,,,,,
244,0,Verse,M,Main,R,E1,L1,W1
,,,,,,,,
244,57.06727891,Chorus,M,Main,R,E1,L1,W1
,,,,,,,,
245,15.7968125,Verse,M,Main,S,E2,L1,W3
,,,,,,,,
245,78.6373125,Chorus,W,Feat,S,E3,L1,W3
,,,,,,,,
246,15.77569161,Verse,W,Feat,S,E5,L1,W5
,,,,,,,,
246,61.55746032,Chorus,W,Feat,S,E3,L5,W5
,,,,,,,,
247,15.66918367,Chorus,M,Neither,R,E1,L1,W1
,,,,,,,,
247,43.19666667,Verse,M,Neither,R,E1,L2,W3
,,,,,,,,
248,5.332993197,Chorus,M,Feat,S,E1,L4,W5
,,,,,,,,
248,23.04947846,Verse,M,Main,R,E3,L1,W3
,,,,,,,,
249,15.13380952,Verse,M,Main,S,E3,L2,W4
,,,,,,,,
249,42.64566893,Chorus,M,Main,S,E2,L3,W4
,,,,,,,,
250,52.50428571,Chorus,W,Feat,S,E1,L4,W5
,,,,,,,,
250,14.91854875,Verse,W,Feat,S,E3,L1,W3
,,,,,,,,
252,19.3190476,Verse,M,neither,R,E1,L1,W1
,,,,,,,,
252,149.573356,Chorus,M,Neither,R,E1,L1,W1
,,,,,,,,
253,16.26952381,Verse,M,Main,R,E1,L4,W5
,,,,,,,,
253,32.22052154,Chorus,M,Feat,S,E1,L4,W5
,,,,,,,,
254,9.392375,Chorus,W,Feat,S,E1,L3,W5
,,,,,,,,
254,39.01870833,Verse,M,Main,R,E1,L2,W3
,,,,,,,,
255,14.67696145,Verse,M,Main,R,E2,L1,W3
,,,,,,,,
255,58.64238095,Chorus,M,Feat,S,E1,L2,W4
,,,,,,,,
256,0,Chorus,M,Main,R,E1,L2,W4
,,,,,,,,
256,24.15683333,Verse,M,Main,R,E1,L1,W2
,,,,,,,,
257,7.847437642,Verse,M,Feat,S,E3,L1,W4
,,,,,,,,
257,67.92947846,Chorus,M,Feat,S,E2,L3,W4
,,,,,,,,
258,24.36547917,Verse,W,Main,S,E5,L2,W4
,,,,,,,,
258,36.31560417,Chorus,W,Main,S,E1,L3,W5
,,,,,,,,
259,7.9520625,Chorus,W,Feat,S,E1,L1,W1
,,,,,,,,
259,30.905875,Verse,M,Main,S,E2,L2,W3
,,,,,,,,
260,30.93316667,Verse,W,Main,S,E1,L3,W4
,,,,,,,,
260,61.14833333,Chorus,W,Main,S,E1,L1,W2
,,,,,,,,
261,29.56730159,Chorus,M,Main,S,E3,L3,W5
,,,,,,,,
261,73.88673469,Verse,M,Main,R,E1,L2,W4
,,,,,,,,
262,32.24145833,Verse,W,Main,S,E3,L2,W3
,,,,,,,,
262,70.1479375,Chorus,W,Main,S,E1,L3,W5
,,,,,,,,
263,42.97668934,Chorus,M,Feat,S,E3,L1,W4
,,,,,,,,
263,59.71666667,Verse,M,Main,R,E1,L4,W5
,,,,,,,,
264,15.31241667,Verse,M,Main,S,E4,L1,W4
,,,,,,,,
264,45.3074375,Chorus,M,Main,S,E1,L3,W5
,,,,,,,,
265,26.43195833,Verse,M,Feat,R,E1,L3,W5
,,,,,,,,
265,81.800875,Chorus,W,Main,S,E5,L2,W4
,,,,,,,,
266,15.55702948,Verse,M,Main,S,E3,L2,W3
,,,,,,,,
266,61.3007483,Chorus,M,Main,S,E2,L5,W5
,,,,,,,,
267,0,Chorus,W,Main,S,E3,L1,W4
,,,,,,,,
267,20.06614583,Verse,M,Feat,R,E1,L1,W2
,,,,,,,,
268,13.04555556,Verse,M,Main,R,E3,L1,W3
,,,,,,,,
268,39.45809524,Chorus,M,Main,R,E2,L4,W5
,,,,,,,,
269,24.20807256,Verse,M,Main,S,E3,L1,W3
,,,,,,,,
269,60.30399093,Chorus,M,Main,S,E3,L1,W3
,,,,,,,,
270,0,Chorus,M,Feat,S,E3,L1,W3
,,,,,,,,
270,34.56530612,Verse,M,Main,R,E1,L4,W4
,,,,,,,,
271,0,Chorus,M,Feat,S,E3,L3,W4
,,,,,,,,
271,24.17113379,Verse,M,Main,R,E3,L4,W5
,,,,,,,,
272,0,Chorus,W,Feat,S,E3,L1,W3
,,,,,,,,
272,54.0161875,Verse,M,Main,R,E1,L3,W3
,,,,,,,,
274,0,Chorus,M,Uncredited,S,E4,L4,W5
,,,,,,,,
274,5.908888889,Verse,M,Main,R,E1,L1,W1
,,,,,,,,
275,1.98829932,Chorus,M,Feat,S,E1,L5,W5
,,,,,,,,
275,31.10437642,Verse,M,Main,R,E1,L4,W5
,,,,,,,,
276,13.1992517,Verse,M,Feat,S,E3,L1,W3
,,,,,,,,
276,77.23517007,Chorus,M,Feat,S,E3,L1,W3
,,,,,,,,
278,9.760083333,Verse,W,Main,R,E1,L1,W1
,,,,,,,,
278,78.5801875,Chorus,W,Main,S,E4,L1,W4
,,,,,,,,
279,0,Chorus,W,Feat,S,E5,L1,W3
,,,,,,,,
279,30.6365,Verse,M,Feat,R,E1,L3,W2
,,,,,,,,
280,6.8381875,Verse,W,Main,S,E2,L1,W3
,,,,,,,,
280,47.82979167,Chorus,W,Main,S,E1,L1,W3
,,,,,,,,
281,49.19002268,Verse,W,Feat,S,E3,L1,W3
,,,,,,,,
281,94.64278912,Chorus,M,Main,S,E1,L1,W1
,,,,,,,,
282,0,Chorus,M,Feat,S,E3,L1,W4
,,,,,,,,
282,41.27151927,Verse,M,Main,S,E2,L1,W4
,,,,,,,,
283,2.206145125,Chorus,M,Feat,S,E3,L1,W4
,,,,,,,,
283,23.48278912,Verse,M,Main,R,E1,L3,W4
,,,,,,,,
285,75.15519274,Verse,W,Main,S,E3,L3,W5
,,,,,,,,
285,105.203356,Chorus,W,Main,S,E3,L3,W5
,,,,,,,,
286,15.02619048,Verse,M,Feat,S,E2,L1,W4
,,,,,,,,
286,75.0054195,Dance Chorus,M,Feat,S,E1,L3,W5
,,,,,,,,
287,21.30582766,Verse,M,Main,S,E2,L1,W4
,,,,,,,,
287,42.40854875,Chorus,M,Main,S,E1,L5,W5
,,,,,,,,
290,0,Chorus,M,Neither,S,E2,L4,W5
,,,,,,,,
290,32.32022917,Verse,M,Neither,R,E1,L2,W4
,,,,,,,,
291,12.08322917,Verse,W,Main,S,E1,L1,W4
,,,,,,,,
291,44.94545833,Chorus,W,Main,S,E1,L3,W5
,,,,,,,,
292,28.59020408,Verse,M,Main,R,E5,L1,W4
,,,,,,,,
292,79.0954195,Chorus,M,Feat,S,E2,L1,W4
,,,,,,,,
294,11.02170068,Chorus,M,Feat,S,E3,L1,W3
,,,,,,,,
294,32.8492517,Verse,M,Main,R,E1,L1,W1
,,,,,,,,
295,7.788354167,Verse,W,Main,S,E2,L1,W3
,,,,,,,,
295,54.01464583,Chorus,W,Main,S,E1,L3,W5
,,,,,,,,
296,44.56530612,Chorus,M,Main,S,E1,L1,W2
,,,,,,,,
296,59.29995465,Verse,M,Main,S,E4,L1,W4
,,,,,,,,
297,10.67114583,Chorus,W,Feat,S,E1,L3,W3
,,,,,,,,
297,31.30460417,Verse,M,Main,R,E1,L1,W1
,,,,,,,,
298,0,Chorus,W,Feat,S,E2,L1,W3
,,,,,,,,
298,27.3185,Verse,M,Main,R,E1,L1,W1
,,,,,,,,
299,18.15092971,Verse,M,Main,S,E1,L1,W2
,,,,,,,,
299,49.63147392,Chorus,M,Main,S,E1,L3,W5
,,,,,,,,
300,0,Chorus,M,Feat,S,E3,L1,W4
,,,,,,,,
300,42.75829932,Verse,M,Main,R,E2,L1,W4
,,,,,,,,
301,23.08115646,Verse,M,Main,S,E1,L1,W2
,,,,,,,,
301,52.76482993,Chorus,M,Main,S,E5,L1,W4
,,,,,,,,
302,0,Chorus,M,Feat,S,E1,L1,W1
,,,,,,,,
302,13.04986395,Verse,M,Main,R,E3,L1,W4
,,,,,,,,
303,7.857006803,Verse,W,Main,S,E4,L1,W4
,,,,,,,,
303,47.33993197,Chorus,W,Main,S,E3,L3,W5
,,,,,,,,
304,11.715875,Verse,M,Main,R,E1,L1,W1
,,,,,,,,
304,56.05341667,Chorus,W,Feat,S,E1,L4,W5
,,,,,,,,
305,8.269795918,Verse,M,Main,S,E2,L2,W3
,,,,,,,,
305,40.25258503,Chorus,M,Main,S,E2,L4,W5
,,,,,,,,
306,22.41804989,Chorus,M,Feat,S,E2,L1,W4
,,,,,,,,
306,47.19888889,Verse,M,Main,R,E1,L3,W3
,,,,,,,,
307,14.86594104,Verse,M,Feat,S,E3,L4,W5
,,,,,,,,
307,74.27353742,Chorus,M,Feat,R,E1,L4,W5
,,,,,,,,
308,10.59650794,Chorus,M,Main,S,E3,L2,W4
,,,,,,,,
308,31.37197279,Verse,M,Main,S,E2,L2,W2
,,,,,,,,
309,0,Chorus,W,Neither,R,E1,L4,W5
,,,,,,,,
309,31.7902,Verse,M,Neither,R,E1,L1,W2
,,,,,,,,
310,19.46190476,Verse,M,Main,S,E1,L4,W5
,,,,,,,,
310,58.27331066,Chorus,M,Feat,S,E1,L5,W5
,,,,,,,,
312,22.34566893,Verse,M,Main,S,E3,L2,W4
,,,,,,,,
312,51.47521542,Chorus,M,Main,S,E2,L5,W5
,,,,,,,,
313,15.27777778,Verse,M,Main,S,E3,L1,W3
,,,,,,,,
313,44.77623583,Chorus,M,Main,S,E3,L3,W5
,,,,,,,,
314,21.65529167,Verse,W,Main,S,E2,L2,W3
,,,,,,,,
314,63.96183333,Chorus,W,Main,S,E1,L4,W5
,,,,,,,,
315,68.5414059,Verse,M,Neither,R,E2,L3,W3
,,,,,,,,
315,109.6668481,Chorus,M,Neither,S,E2,L1,W3
,,,,,,,,
316,0,Verse,W,Main,R,E1,L4,W4
,,,,,,,,
316,32.21152083,Chorus,W,Main,R,E1,L4,W5
,,,,,,,,
317,16.32141667,Chorus,M,Main,S,E1,L5,W5
,,,,,,,,
317,42.2313125,Verse,M,Main,S,E1,L1,W2
,,,,,,,,
318,16.0054375,Verse,M,Main,S,E3,L1,W3
,,,,,,,,
318,46.56579167,Chorus,M,Main,S,E1,L5,W5
,,,,,,,,
319,0,Chorus,M,Main,R,E5,L1,W3
,,,,,,,,
319,25.05604167,Verse,M,Main,R,E3,L2,W3
,,,,,,,,
320,5.89,Chorus,M,Feat,S,E3,L3,W3
,,,,,,,,
320,40.8199093,Verse,M,Main,R,E2,L1,W3
,,,,,,,,
321,19.70038549,Chorus,M,Feat,S,E3,L4,W5
,,,,,,,,
321,39.25099773,Verse,M,Main,S,E1,L3,W5
,,,,,,,,
322,26.52378685,Verse,M,Main,S,E3,L2,W4
,,,,,,,,
322,78.43913832,Chorus,M,Main,S,E1,L5,W5
,,,,,,,,
323,0,Chorus,M,Main,S,E1,L1,W1
,,,,,,,,
323,30.59575964,Verse,M,Main,R,E1,L1,W1
,,,,,,,,
326,6.471133787,Chorus,M,Feat,S,E2,L4,W5
,,,,,,,,
326,32.03507937,Verse,M,Feat,R,E1,L2,W3
,,,,,,,,
328,0,Chorus,M,Main,S,E4,L1,W3
,,,,,,,,
328,11.75696145,Verse,M,Main,S,E1,L1,W1
,,,,,,,,
329,12.44244898,Chorus,M,Feat,S,E2,L1,W3
,,,,,,,,
329,48.6114059,Verse,M,Main,R,E2,L2,W3
,,,,,,,,
330,8.241791383,Verse,M,Neither,S,E3,L1,W3
,,,,,,,,
330,39.93485261,Chorus,M,Neither,S,E1,L4,W5
,,,,,,,,
331,28.54428571,Verse,M,Feat,R,E1,L1,W1
,,,,,,,,
331,79.09811791,Chorus,M,Main,S,E3,L1,W4
