Index #,Timestamp,Formal section,Gender,Function,Vocal delivery,Environment,Layering,Width
48,60.29308333,Verse,M,Neither,R,E2,L1,W3
,,,,,,,,
50,9.812222222,Verse,M,Feat,S,E3,L1,W4
,,,,,,,,
50,48.22097506,Chorus,M,Feat,S,E2,L4,W5
,,,,,,,,
51,8.106258503,Verse,W,Neither,S,E4,L1,W4
,,,,,,,,
51,38.65512472,Chorus,W,Neither,S,E1,L4,W5
,,,,,,,,
52,14.09904167,Chorus,W,Main,R,E2,L1,W3
,,,,,,,,
52,41.98895833,Verse,W,Main,R,E3,L2,W3
,,,,,,,,
53,38.370875,Chorus,M,Main,R,E2,L4,W5
,,,,,,,,
53,57.28289583,Verse,M,Feat,R,E2,L1,W3
,,,,,,,,
54,12.10260771,Verse,M,Main,S,E1,L1,W1
,,,,,,,,
54,47.65022676,Chorus,M,Main,S,E4,L4,W5
,,,,,,,,
55,23.18004535,Verse,W,Neither,S,E5,L1,W4
,,,,,,,,
55,54.19235828,Chorus,W,Neither,S,E5,L1,W4
,,,,,,,,
56,9.388979592,Chorus,M,Feat,S,E1,L1,W1
,,,,,,,,
56,47.02557823,Verse,M,Feat,S,E3,L2,W3
,,,,,,,,
57,12.15127083,Chorus,M,Main,R,E2,L1,W3
,,,,,,,,
57,23.39308333,Verse,M,Main,R,E1,L1,W1
,,,,,,,,
58,13.41324263,Chorus,M,Main,S,E2,L1,W3
,,,,,,,,
58,39.73029479,Verse,M,Main,S,E2,L3,W3
,,,,,,,,
59,11.1535625,Verse,M,Neither,S,E4,L1,W4
,,,,,,,,
59,53.77520833,Chorus,M,Neither,S,E4,L3,W5
,,,,,,,,
60,0,Chorus,M,Neither,R,E2,L2,W4
,,,,,,,,
60,24.87612245,Verse,M,Neither,R,E1,L1,W2
,,,,,,,,
61,9.794943311,Verse,M,Neither,S,E4,L1,W3
,,,,,,,,
61,28.9893424,Chorus,M,Neither,S,E4,L5,W5
,,,,,,,,
62,29.90827664,Chorus,M,Neither,S,E5,L2,W4
,,,,,,,,
62,49.86634921,Verse,M,Neither,S,E5,L1,W3
,,,,,,,,
63,2.8400625,Verse,M,Neither,R,E1,L1,W1
,,,,,,,,
63,23.18670833,Chorus,M,Neither,R,E1,L1,W1
,,,,,,,,
66,22.07664399,Chorus,M,Neither,S,E2,L1,W4
,,,,,,,,
66,44.18873016,Verse,M,Neither,S,E2,L1,W4
,,,,,,,,
68,9.86380952,Verse,M,Neither,S,E3,L1,W4
,,,,,,,,
68,46.8835828,Chorus,M,Neither,S,E1,L4,W4
,,,,,,,,
69,15.18755102,Chorus,M,Main,R,E4,L1,W4
,,,,,,,,
69,45.48739229,Verse,M,Main,R,E4,L1,W4
,,,,,,,,
70,31.29344671,Chorus,M,Main,S,E2,L5,W5
,,,,,,,,
70,46.8924263,Verse,M,Main,S,E3,L1,W3
,,,,,,,,
71,35.59380952,Chorus,M,Feat,S,E3,L1,W3
,,,,,,,,
71,47.42058957,Verse,M,Feat,S,E1,L1,W1
,,,,,,,,
